Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2005/06;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;;
Luzern;49458 ;25175 ;24283 ;5324 ;2824 ;2500 ;27069 ;13667 ;13402 ;14362 ;7056 ;7306 ;3878 ;2105 ;1773 ;9951 ;4669 ;5282 ;533 ;282 ;251 ;2703 ;1628 ;1075 ;
Uri;4493 ;2290 ;2203 ;492 ;262 ;230 ;2498 ;1263 ;1235 ;1323 ;652 ;671 ;267 ;147 ;120 ;685 ;315 ;370 ;371 ;190 ;181 ;180 ;113 ;67 ;
Schwyz;17979 ;9175 ;8804 ;2212 ;1149 ;1063 ;9838 ;4956 ;4882 ;5224 ;2631 ;2593 ;1630 ;903 ;727 ;3594 ;1728 ;1866 ;- ;- ;- ;705 ;439 ;266 ;
Obwalden;4574 ;2345 ;2229 ;408 ;217 ;191 ;2470 ;1276 ;1194 ;1540 ;755 ;785 ;448 ;253 ;195 ;1003 ;452 ;551 ;89 ;50 ;39 ;156 ;97 ;59 ;
Nidwalden;5027 ;2592 ;2435 ;591 ;306 ;285 ;2783 ;1452 ;1331 ;1523 ;743 ;780 ;206 ;122 ;84 ;633 ;292 ;341 ;684 ;329 ;355 ;130 ;91 ;39 ;
Zug;12963 ;6610 ;6353 ;1988 ;996 ;992 ;6577 ;3304 ;3273 ;3622 ;1814 ;1808 ;946 ;548 ;398 ;2561 ;1207 ;1354 ;115 ;59 ;56 ;776 ;496 ;280 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Tessin;37770 ;19485 ;18285 ;8131 ;4185 ;3946 ;16055 ;8275 ;7780 ;12935 ;6619 ;6316 ;1632 ;916 ;716 ;3498 ;1708 ;1790 ;7805 ;3995 ;3810 ;649 ;406 ;243 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Stand: Februar 2021;;;;;;;;;;;;;;;;;;;;;;;;;
Quelle: BFS - Statistik der Lernenden (SDL);;;;;;;;;;;;;;;;;;;;;;;;;
© BFS 2022;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Auskunft: lernstat@bfs.admin.ch;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
