Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2006/07;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;
Luzern;48076 ;24552 ;23524 ;4824 ;2570 ;2254 ;26509 ;13401 ;13108 ;14093 ;6972 ;7121 ;3691 ;2030 ;1661 ;9854 ;4649 ;5205 ;548 ;293 ;255 ;2650 ;1609 ;1041 
Uri;4367 ;2232 ;2135 ;462 ;261 ;201 ;2435 ;1241 ;1194 ;1308 ;634 ;674 ;219 ;115 ;104 ;578 ;262 ;316 ;511 ;257 ;254 ;162 ;96 ;66 
Schwyz;17935 ;9167 ;8768 ;2281 ;1164 ;1117 ;9718 ;4893 ;4825 ;5213 ;2653 ;2560 ;1571 ;915 ;656 ;3642 ;1738 ;1904 ;- ;- ;- ;723 ;457 ;266 
Obwalden;4471 ;2320 ;2151 ;438 ;233 ;205 ;2420 ;1247 ;1173 ;1482 ;753 ;729 ;433 ;261 ;172 ;958 ;441 ;517 ;91 ;51 ;40 ;131 ;87 ;44 
Nidwalden;4906 ;2555 ;2351 ;601 ;321 ;280 ;2719 ;1423 ;1296 ;1470 ;735 ;735 ;195 ;112 ;83 ;628 ;302 ;326 ;647 ;321 ;326 ;116 ;76 ;40 
Zug;12879 ;6602 ;6277 ;1990 ;1040 ;950 ;6575 ;3285 ;3290 ;3624 ;1835 ;1789 ;922 ;527 ;395 ;2593 ;1253 ;1340 ;109 ;55 ;54 ;690 ;442 ;248 
;;;;;;;;;;;;;;;;;;;;;;;;
Tessin;37668 ;19420 ;18248 ;8033 ;4169 ;3864 ;15999 ;8146 ;7853 ;12960 ;6685 ;6275 ;1876 ;1036 ;840 ;3716 ;1797 ;1919 ;7368 ;3852 ;3516 ;676 ;420 ;256 
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Stand: Februar 2021;;;;;;;;;;;;;;;;;;;;;;;;
Quelle: BFS - Statistik der Lernenden (SDL);;;;;;;;;;;;;;;;;;;;;;;;
© BFS 2022;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Auskunft: lernstat@bfs.admin.ch;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
