Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2000/01;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;;
Luzern;49378 ;25149 ;24229 ;5996 ;3136 ;2860 ;27646 ;13910 ;13736 ;13206 ;6582 ;6624 ;3837 ;2086 ;1751 ;9041 ;4306 ;4735 ;328 ;190 ;138 ;2530 ;1521 ;1009 ;
Uri;4826 ;2427 ;2399 ;554 ;295 ;259 ;2772 ;1381 ;1391 ;1323 ;653 ;670 ;322 ;185 ;137 ;749 ;339 ;410 ;252 ;129 ;123 ;177 ;98 ;79 ;
Schwyz;18112 ;9352 ;8760 ;2300 ;1215 ;1085 ;10120 ;5086 ;5034 ;4980 ;2598 ;2382 ;1548 ;893 ;655 ;3235 ;1596 ;1639 ;197 ;109 ;88 ;712 ;453 ;259 ;
Obwalden;4888 ;2525 ;2363 ;437 ;227 ;210 ;2711 ;1350 ;1361 ;1493 ;809 ;684 ;285 ;154 ;131 ;710 ;368 ;342 ;498 ;287 ;211 ;247 ;139 ;108 ;
Nidwalden;5240 ;2664 ;2576 ;619 ;317 ;302 ;3023 ;1519 ;1504 ;1416 ;713 ;703 ;192 ;127 ;65 ;598 ;285 ;313 ;626 ;301 ;325 ;182 ;115 ;67 ;
Zug;12760 ;6541 ;6219 ;1913 ;942 ;971 ;6478 ;3250 ;3228 ;3376 ;1745 ;1631 ;906 ;508 ;398 ;2407 ;1212 ;1195 ;63 ;25 ;38 ;993 ;604 ;389 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Tessin;36262 ;18718 ;17544 ;7971 ;4114 ;3857 ;15839 ;8144 ;7695 ;11875 ;6100 ;5775 ;1721 ;982 ;739 ;2993 ;1404 ;1589 ;7161 ;3714 ;3447 ;577 ;360 ;217 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Stand: Februar 2021;;;;;;;;;;;;;;;;;;;;;;;;;
Quelle: BFS - Statistik der Lernenden (SDL);;;;;;;;;;;;;;;;;;;;;;;;;
© BFS 2022;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Auskunft: lernstat@bfs.admin.ch;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
