Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2019/20;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Primarstufe 1-2 (1)(3);;; Primarstufe 3-8 (2)(3);;; Sekundarstufe I ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung (3);;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Glarus;4404 ;2265 ;2139 ;827 ;422 ;405 ;2350 ;1209 ;1141 ;1227 ;634 ;593 ;513 ;279 ;234 ;676 ;332 ;344 ;38 ;23 ;15 ;;;;;;;;;;;;;;;;;;;;;;;;;
Schaffhausen;8840 ;4541 ;4299 ;1590 ;798 ;792 ;4929 ;2558 ;2371 ;2321 ;1185 ;1136 ;850 ;470 ;380 ;1291 ;606 ;685 ;180 ;109 ;71 ;;;;;;;;;;;;;;;;;;;;;;;;;
Appenzell A. Rh.;6063 ;3133 ;2930 ;1208 ;604 ;604 ;3334 ;1728 ;1606 ;1521 ;801 ;720 ;453 ;264 ;189 ;952 ;453 ;499 ;116 ;84 ;32 ;;;;;;;;;;;;;;;;;;;;;;;;;
Appenzell I. Rh.;1825 ;932 ;893 ;358 ;178 ;180 ;1004 ;523 ;481 ;463 ;231 ;232 ;115 ;71 ;44 ;326 ;142 ;184 ;22 ;18 ;4 ;;;;;;;;;;;;;;;;;;;;;;;;;
St. Gallen;58475 ;30024 ;28451 ;10781 ;5569 ;5212 ;31901 ;16393 ;15508 ;15793 ;8062 ;7731 ;5107 ;2841 ;2266 ;9336 ;4417 ;4919 ;1350 ;804 ;546 ;;;;;;;;;;;;;;;;;;;;;;;;;
Graubünden;19144 ;9872 ;9272 ;3621 ;1842 ;1779 ;10281 ;5332 ;4949 ;5242 ;2698 ;2544 ;1634 ;959 ;675 ;3431 ;1632 ;1799 ;177 ;107 ;70 ;;;;;;;;;;;;;;;;;;;;;;;;;
Thurgau;31107 ;16080 ;15027 ;6007 ;3129 ;2878 ;16935 ;8795 ;8140 ;8165 ;4156 ;4009 ;2482 ;1403 ;1079 ;4017 ;1837 ;2180 ;1666 ;916 ;750 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zentralschweiz;88267 ;45425 ;42842 ;15145 ;7772 ;7373 ;48886 ;25246 ;23640 ;24236 ;12407 ;11829 ;4910 ;2845 ;2065 ;14780 ;7033 ;7747 ;4546 ;2529 ;2017 ;;;;;;;;;;;;;;;;;;;;;;;;;
Luzern;44536 ;22964 ;21572 ;7377 ;3796 ;3581 ;25009 ;13005 ;12004 ;12150 ;6163 ;5987 ;1855 ;1050 ;805 ;6690 ;3162 ;3528 ;3605 ;1951 ;1654 ;;;;;;;;;;;;;;;;;;;;;;;;;
Uri;3877 ;2012 ;1865 ;682 ;351 ;331 ;2147 ;1123 ;1024 ;1048 ;538 ;510 ;278 ;168 ;110 ;744 ;352 ;392 ;26 ;18 ;8 ;;;;;;;;;;;;;;;;;;;;;;;;;
Schwyz;16886 ;8630 ;8256 ;3021 ;1567 ;1454 ;9211 ;4685 ;4526 ;4654 ;2378 ;2276 ;1267 ;722 ;545 ;3146 ;1506 ;1640 ;241 ;150 ;91 ;;;;;;;;;;;;;;;;;;;;;;;;;
Obwalden;4207 ;2137 ;2070 ;691 ;334 ;357 ;2349 ;1205 ;1144 ;1167 ;598 ;569 ;325 ;202 ;123 ;817 ;377 ;440 ;25 ;19 ;6 ;;;;;;;;;;;;;;;;;;;;;;;;;
Nidwalden;4183 ;2137 ;2046 ;744 ;378 ;366 ;2294 ;1167 ;1127 ;1145 ;592 ;553 ;307 ;180 ;127 ;811 ;393 ;418 ;27 ;19 ;8 ;;;;;;;;;;;;;;;;;;;;;;;;;
Zug;14578 ;7545 ;7033 ;2630 ;1346 ;1284 ;7876 ;4061 ;3815 ;4072 ;2138 ;1934 ;878 ;523 ;355 ;2572 ;1243 ;1329 ;622 ;372 ;250 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tessin;37528 ;19277 ;18251 ;8629 ;4407 ;4222 ;15481 ;7936 ;7545 ;13418 ;6934 ;6484 ;1706 ;1008 ;698 ;3865 ;1892 ;1973 ;7847 ;4034 ;3813 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(1) Kindergarten / Eingangsstufe 1. - 2. Jahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(2) 3. - 8. Jahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(3) Ab dem Schuljahr 2017/18 sind die Schüler/innen der Sonderschulklassen, der Klassen für Fremdsprachige, der Einführungsklassen und der anderen Sonderklassen in den verschiedenen Bildungsstufen der obligatorischen Schule und nicht mehr in der getrennten Kategorie «Separativer Unterricht» integriert.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stand: Februar 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quelle: BFS - Statistik der Lernenden (SDL);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
© BFS 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Auskunft: lernstat@bfs.admin.ch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
