Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2011/12;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;
Luzern;43928 ;22622 ;21306 ;5386 ;2824 ;2562 ;23111 ;11839 ;11272 ;13883 ;6959 ;6924 ;3406 ;1843 ;1563 ;9929 ;4794 ;5135 ;548 ;322 ;226 ;1548 ;1000 ;548 
Uri;4092 ;2156 ;1936 ;650 ;354 ;296 ;2204 ;1164 ;1040 ;1153 ;590 ;563 ;346 ;207 ;139 ;807 ;383 ;424 ;- ;- ;- ;85 ;48 ;37 
Schwyz;17161 ;8768 ;8393 ;2634 ;1373 ;1261 ;9062 ;4612 ;4450 ;4926 ;2452 ;2474 ;1419 ;779 ;640 ;3507 ;1673 ;1834 ;- ;- ;- ;539 ;331 ;208 
Obwalden;4116 ;2138 ;1978 ;496 ;257 ;239 ;2233 ;1125 ;1108 ;1308 ;696 ;612 ;380 ;236 ;144 ;928 ;460 ;468 ;- ;- ;- ;79 ;60 ;19 
Nidwalden;4499 ;2327 ;2172 ;719 ;362 ;357 ;2379 ;1249 ;1130 ;1312 ;661 ;651 ;190 ;104 ;86 ;568 ;267 ;301 ;554 ;290 ;264 ;89 ;55 ;34 
Zug;13538 ;7021 ;6517 ;2234 ;1125 ;1109 ;6911 ;3552 ;3359 ;3825 ;1969 ;1856 ;977 ;548 ;429 ;2482 ;1228 ;1254 ;366 ;193 ;173 ;568 ;375 ;193 
;;;;;;;;;;;;;;;;;;;;;;;;
Tessin;37482 ;19311 ;18171 ;8367 ;4344 ;4023 ;15091 ;7746 ;7345 ;13414 ;6855 ;6559 ;2045 ;1165 ;880 ;3655 ;1721 ;1934 ;7714 ;3969 ;3745 ;610 ;366 ;244 
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Stand: Februar 2022;;;;;;;;;;;;;;;;;;;;;;;;
Quelle: BFS - Statistik der Lernenden (SDL);;;;;;;;;;;;;;;;;;;;;;;;
© BFS 2022;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Auskunft: lernstat@bfs.admin.ch;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
