Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2010/11;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;
Luzern;44624 ;22969 ;21655 ;5099 ;2683 ;2416 ;23425 ;11925 ;11500 ;14106 ;7085 ;7021 ;3521 ;1900 ;1621 ;10026 ;4847 ;5179 ;559 ;338 ;221 ;1994 ;1276 ;718 
Uri;4061 ;2114 ;1947 ;490 ;247 ;243 ;2260 ;1202 ;1058 ;1220 ;614 ;606 ;132 ;76 ;56 ;439 ;198 ;241 ;649 ;340 ;309 ;91 ;51 ;40 
Schwyz;17391 ;8865 ;8526 ;2529 ;1335 ;1194 ;9253 ;4740 ;4513 ;5101 ;2473 ;2628 ;1483 ;800 ;683 ;3618 ;1673 ;1945 ;- ;- ;- ;508 ;317 ;191 
Obwalden;4134 ;2130 ;2004 ;446 ;220 ;226 ;2302 ;1172 ;1130 ;1305 ;680 ;625 ;390 ;237 ;153 ;915 ;443 ;472 ;- ;- ;- ;81 ;58 ;23 
Nidwalden;4536 ;2349 ;2187 ;694 ;357 ;337 ;2442 ;1288 ;1154 ;1312 ;650 ;662 ;183 ;94 ;89 ;577 ;262 ;315 ;552 ;294 ;258 ;88 ;54 ;34 
Zug;13381 ;6936 ;6445 ;2009 ;1047 ;962 ;6980 ;3553 ;3427 ;3827 ;1979 ;1848 ;917 ;534 ;383 ;2468 ;1226 ;1242 ;442 ;219 ;223 ;565 ;357 ;208 
;;;;;;;;;;;;;;;;;;;;;;;;
Tessin;37879 ;19480 ;18399 ;8379 ;4344 ;4035 ;15513 ;7930 ;7583 ;13363 ;6825 ;6538 ;2197 ;1230 ;967 ;3493 ;1666 ;1827 ;7673 ;3929 ;3744 ;624 ;381 ;243 
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Bemerkung: Die Lernenden der Kategorie «Nicht auf Stufen aufteilbare Ausbildungen» können ab 2010/11 auf die detaillierten Bildungsstufen der obligatorischen Schule und der Sekundarstufe II (allgemeinbildende Ausbildungen) zugewiesen werden.;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Stand: Februar 2022;;;;;;;;;;;;;;;;;;;;;;;;
Quelle: BFS - Statistik der Lernenden (SDL);;;;;;;;;;;;;;;;;;;;;;;;
© BFS 2022;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Auskunft: lernstat@bfs.admin.ch;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
