Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 1999/2000;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;;
Luzern;49191 ;25020 ;24171 ;6112 ;3168 ;2944 ;27326 ;13728 ;13598 ;13250 ;6589 ;6661 ;3888 ;2145 ;1743 ;9034 ;4251 ;4783 ;328 ;193 ;135 ;2503 ;1535 ;968 ;
Uri;4878 ;2436 ;2442 ;552 ;290 ;262 ;2772 ;1355 ;1417 ;1351 ;674 ;677 ;340 ;204 ;136 ;780 ;353 ;427 ;231 ;117 ;114 ;203 ;117 ;86 ;
Schwyz;18127 ;9357 ;8770 ;2342 ;1239 ;1103 ;10199 ;5153 ;5046 ;4887 ;2529 ;2358 ;1218 ;683 ;535 ;2732 ;1338 ;1394 ;937 ;508 ;429 ;699 ;436 ;263 ;
Obwalden;4867 ;2508 ;2359 ;467 ;263 ;204 ;2761 ;1366 ;1395 ;1387 ;730 ;657 ;307 ;170 ;137 ;768 ;384 ;384 ;312 ;176 ;136 ;252 ;149 ;103 ;
Nidwalden;5128 ;2623 ;2505 ;539 ;285 ;254 ;3044 ;1545 ;1499 ;1361 ;679 ;682 ;200 ;125 ;75 ;565 ;261 ;304 ;596 ;293 ;303 ;184 ;114 ;70 ;
Zug;12476 ;6453 ;6023 ;1762 ;870 ;892 ;6499 ;3282 ;3217 ;3274 ;1731 ;1543 ;902 ;510 ;392 ;2312 ;1193 ;1119 ;60 ;28 ;32 ;941 ;570 ;371 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Tessin;36015 ;18656 ;17359 ;7918 ;4123 ;3795 ;15736 ;8132 ;7604 ;11798 ;6058 ;5740 ;1736 ;1012 ;724 ;2987 ;1420 ;1567 ;7075 ;3626 ;3449 ;563 ;343 ;220 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Stand: Februar 2021;;;;;;;;;;;;;;;;;;;;;;;;;
Quelle: BFS - Statistik der Lernenden (SDL);;;;;;;;;;;;;;;;;;;;;;;;;
© BFS 2022;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Auskunft: lernstat@bfs.admin.ch;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
