Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2004/05;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;
Luzern;50018 ;25431 ;24587 ;5595 ;2899 ;2696 ;27582 ;13939 ;13643 ;14177 ;7005 ;7172 ;3974 ;2150 ;1824 ;9685 ;4565 ;5120 ;518 ;290 ;228 ;2664 ;1588 ;1076 
Uri;4530 ;2287 ;2243 ;494 ;252 ;242 ;2581 ;1300 ;1281 ;1284 ;631 ;653 ;275 ;155 ;120 ;651 ;294 ;357 ;358 ;182 ;176 ;171 ;104 ;67 
Schwyz;18007 ;9158 ;8849 ;2089 ;1094 ;995 ;10016 ;5041 ;4975 ;5160 ;2562 ;2598 ;1628 ;893 ;735 ;3532 ;1669 ;1863 ;- ;- ;- ;742 ;461 ;281 
Obwalden;4716 ;2407 ;2309 ;476 ;258 ;218 ;2512 ;1287 ;1225 ;1559 ;758 ;801 ;474 ;257 ;217 ;998 ;450 ;548 ;87 ;51 ;36 ;169 ;104 ;65 
Nidwalden;5077 ;2637 ;2440 ;617 ;353 ;264 ;2836 ;1438 ;1398 ;1481 ;748 ;733 ;183 ;108 ;75 ;605 ;279 ;326 ;693 ;361 ;332 ;143 ;98 ;45 
Zug;12992 ;6692 ;6300 ;1969 ;998 ;971 ;6636 ;3320 ;3316 ;3564 ;1834 ;1730 ;900 ;522 ;378 ;2456 ;1205 ;1251 ;208 ;107 ;101 ;823 ;540 ;283 
;;;;;;;;;;;;;;;;;;;;;;;;
Tessin;37350 ;19313 ;18037 ;8202 ;4197 ;4005 ;16029 ;8219 ;7810 ;12466 ;6479 ;5987 ;1543 ;908 ;635 ;3312 ;1623 ;1689 ;7611 ;3948 ;3663 ;653 ;418 ;235 
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Stand: Februar 2021;;;;;;;;;;;;;;;;;;;;;;;;
Quelle: BFS - Statistik der Lernenden (SDL);;;;;;;;;;;;;;;;;;;;;;;;
© BFS 2022;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Auskunft: lernstat@bfs.admin.ch;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
