Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2013/14;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;
Luzern;42719 ;22063 ;20656 ;5873 ;3130 ;2743 ;22897 ;11762 ;11135 ;12913 ;6472 ;6441 ;3152 ;1692 ;1460 ;8888 ;4284 ;4604 ;873 ;496 ;377 ;1036 ;699 ;337 
Uri;3959 ;2081 ;1878 ;623 ;313 ;310 ;2171 ;1145 ;1026 ;1114 ;592 ;522 ;359 ;226 ;133 ;755 ;366 ;389 ;- ;- ;- ;51 ;31 ;20 
Schwyz;16943 ;8752 ;8191 ;2713 ;1410 ;1303 ;8829 ;4528 ;4301 ;4863 ;2482 ;2381 ;1415 ;796 ;619 ;3448 ;1686 ;1762 ;- ;- ;- ;538 ;332 ;206 
Obwalden;4041 ;2069 ;1972 ;547 ;265 ;282 ;2163 ;1093 ;1070 ;1272 ;662 ;610 ;331 ;220 ;111 ;941 ;442 ;499 ;- ;- ;- ;59 ;49 ;10 
Nidwalden;4350 ;2263 ;2087 ;721 ;370 ;351 ;2300 ;1197 ;1103 ;1262 ;655 ;607 ;137 ;88 ;49 ;458 ;224 ;234 ;667 ;343 ;324 ;67 ;41 ;26 
Zug;13623 ;7072 ;6551 ;2295 ;1186 ;1109 ;6962 ;3567 ;3395 ;3842 ;1953 ;1889 ;905 ;497 ;408 ;2561 ;1238 ;1323 ;376 ;218 ;158 ;524 ;366 ;158 
;;;;;;;;;;;;;;;;;;;;;;;;
Tessin;38159 ;19586 ;18573 ;8634 ;4349 ;4285 ;15690 ;8069 ;7621 ;13222 ;6796 ;6426 ;1984 ;1102 ;882 ;3562 ;1727 ;1835 ;7676 ;3967 ;3709 ;613 ;372 ;241 
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Stand: Februar 2022;;;;;;;;;;;;;;;;;;;;;;;;
Quelle: BFS - Statistik der Lernenden (SDL);;;;;;;;;;;;;;;;;;;;;;;;
© BFS 2022;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Auskunft: lernstat@bfs.admin.ch;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
