Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2009/10;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;
Luzern;45437 ;23401 ;22036 ;4946 ;2566 ;2380 ;24145 ;12332 ;11813 ;14117 ;7101 ;7016 ;3599 ;1949 ;1650 ;9967 ;4833 ;5134 ;551 ;319 ;232 ;2229 ;1402 ;827 
Uri;4168 ;2166 ;2002 ;520 ;258 ;262 ;2321 ;1236 ;1085 ;1235 ;612 ;623 ;114 ;57 ;57 ;470 ;206 ;264 ;651 ;349 ;302 ;92 ;60 ;32 
Schwyz;17383 ;8868 ;8515 ;2357 ;1261 ;1096 ;9281 ;4692 ;4589 ;5142 ;2545 ;2597 ;1503 ;818 ;685 ;3639 ;1727 ;1912 ;- ;- ;- ;603 ;370 ;233 
Obwalden;4165 ;2165 ;2000 ;386 ;207 ;179 ;2321 ;1203 ;1118 ;1379 ;707 ;672 ;419 ;247 ;172 ;938 ;438 ;500 ;22 ;22 ;- ;79 ;48 ;31 
Nidwalden;4664 ;2434 ;2230 ;706 ;358 ;348 ;2510 ;1325 ;1185 ;1359 ;695 ;664 ;212 ;112 ;100 ;593 ;287 ;306 ;554 ;296 ;258 ;89 ;56 ;33 
Zug;12646 ;6529 ;6117 ;2056 ;1099 ;957 ;6537 ;3319 ;3218 ;3547 ;1786 ;1761 ;971 ;517 ;454 ;2507 ;1235 ;1272 ;69 ;34 ;35 ;506 ;325 ;181 
;;;;;;;;;;;;;;;;;;;;;;;;
Tessin;37728 ;19464 ;18264 ;8259 ;4255 ;4004 ;15616 ;8019 ;7597 ;13146 ;6742 ;6404 ;2114 ;1187 ;927 ;3417 ;1675 ;1742 ;7615 ;3880 ;3735 ;707 ;448 ;259 
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Stand: Februar 2021;;;;;;;;;;;;;;;;;;;;;;;;
Quelle: BFS - Statistik der Lernenden (SDL);;;;;;;;;;;;;;;;;;;;;;;;
© BFS 2022;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Auskunft: lernstat@bfs.admin.ch;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
