Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2001/02;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;
Luzern;49941 ;25395 ;24546 ;6162 ;3171 ;2991 ;27758 ;13942 ;13816 ;13474 ;6759 ;6715 ;3855 ;2113 ;1742 ;9239 ;4426 ;4813 ;380 ;220 ;160 ;2547 ;1523 ;1024 
Uri;4742 ;2399 ;2343 ;508 ;271 ;237 ;2731 ;1381 ;1350 ;1318 ;643 ;675 ;285 ;171 ;114 ;707 ;313 ;394 ;326 ;159 ;167 ;185 ;104 ;81 
Schwyz;18150 ;9291 ;8859 ;2275 ;1166 ;1109 ;10205 ;5164 ;5041 ;4974 ;2503 ;2471 ;1426 ;798 ;628 ;3133 ;1473 ;1660 ;415 ;232 ;183 ;696 ;458 ;238 
Obwalden;4829 ;2455 ;2374 ;415 ;201 ;214 ;2676 ;1306 ;1370 ;1500 ;811 ;689 ;236 ;131 ;105 ;657 ;343 ;314 ;607 ;337 ;270 ;238 ;137 ;101 
Nidwalden;5171 ;2643 ;2528 ;592 ;315 ;277 ;3005 ;1524 ;1481 ;1413 ;704 ;709 ;192 ;122 ;70 ;588 ;279 ;309 ;633 ;303 ;330 ;161 ;100 ;61 
Zug;12872 ;6628 ;6244 ;1972 ;1042 ;930 ;6539 ;3229 ;3310 ;3395 ;1761 ;1634 ;974 ;555 ;419 ;2294 ;1143 ;1151 ;127 ;63 ;64 ;966 ;596 ;370 
;;;;;;;;;;;;;;;;;;;;;;;;
Tessin;36725 ;18909 ;17816 ;8187 ;4116 ;4071 ;15815 ;8157 ;7658 ;12154 ;6271 ;5883 ;1676 ;989 ;687 ;3034 ;1381 ;1653 ;7444 ;3901 ;3543 ;569 ;365 ;204 
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Stand: Februar 2021;;;;;;;;;;;;;;;;;;;;;;;;
Quelle: BFS - Statistik der Lernenden (SDL);;;;;;;;;;;;;;;;;;;;;;;;
© BFS 2022;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Auskunft: lernstat@bfs.admin.ch;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
